date,region,disease,cases,deaths,recovered,population
2021-01-01,Maharashtra,Dengue,72799.0,987,71812,120000000
2021-01-08,Maharashtra,Dengue,65814.0,609,65205,120000000
2021-01-15,Maharashtra,Dengue,64273.0,519,63754,120000000
2021-01-22,Maharashtra,Dengue,57511.0,823,56688,120000000
2021-01-29,Maharashtra,Dengue,59210.0,304,58906,120000000
2021-02-05,Maharashtra,Dengue,43932.0,305,43627,120000000
2021-02-12,Maharashtra,Dengue,45103.0,635,44468,120000000
2021-02-19,Maharashtra,Dengue,,183,29693,120000000
2021-02-26,Maharashtra,Dengue,28922.0,301,28621,120000000
2021-03-05,Maharashtra,Dengue,25904.0,311,25593,120000000
2021-03-12,Maharashtra,Dengue,25870.0,323,25547,120000000
2021-03-19,Maharashtra,Dengue,17499.0,168,17331,120000000
2021-03-26,Maharashtra,Dengue,12698.0,175,12523,120000000
2021-04-02,Maharashtra,Dengue,10551.0,151,10400,120000000
2021-04-09,Maharashtra,Dengue,8409.0,43,8366,120000000
2021-04-16,Maharashtra,Dengue,4612.0,52,4560,120000000
2021-04-23,Maharashtra,Dengue,2122.0,12,2110,120000000
2021-04-30,Maharashtra,Dengue,1202.0,16,1186,120000000
2021-05-07,Maharashtra,Dengue,254.0,3,251,120000000
2021-05-14,Maharashtra,Dengue,0.0,0,0,120000000
2021-05-21,Maharashtra,Dengue,,2,334,120000000
2021-05-28,Maharashtra,Dengue,1311.0,13,1298,120000000
2021-06-04,Maharashtra,Dengue,2708.0,40,2668,120000000
2021-06-11,Maharashtra,Dengue,4886.0,54,4832,120000000
2021-06-18,Maharashtra,Dengue,6311.0,54,6257,120000000
2021-06-25,Maharashtra,Dengue,10708.0,98,10610,120000000
2021-07-02,Maharashtra,Dengue,13808.0,199,13609,120000000
2021-07-09,Maharashtra,Dengue,19675.0,156,19519,120000000
2021-07-16,Maharashtra,Dengue,25134.0,376,24758,120000000
2021-07-23,Maharashtra,Dengue,30999.0,400,30599,120000000
2021-07-30,Maharashtra,Dengue,33935.0,271,33664,120000000
2021-08-06,Maharashtra,Dengue,40387.0,375,40012,120000000
2021-08-13,Maharashtra,Dengue,46041.0,311,45730,120000000
2021-08-20,Maharashtra,Dengue,37429.0,279,37150,120000000
2021-08-27,Maharashtra,Dengue,391417.0,5201,386216,120000000
2021-09-03,Maharashtra,Dengue,54315.0,330,53985,120000000
2021-09-10,Maharashtra,Dengue,56886.0,415,56471,120000000
2021-09-17,Maharashtra,Dengue,59232.0,745,58487,120000000
2021-09-24,Maharashtra,Dengue,64228.0,433,63795,120000000
2021-10-01,Maharashtra,Dengue,64423.0,442,63981,120000000
2021-10-08,Maharashtra,Dengue,78444.0,692,77752,120000000
2021-10-15,Maharashtra,Dengue,80281.0,1127,79154,120000000
2021-10-22,Maharashtra,Dengue,64304.0,879,63425,120000000
2021-10-29,Maharashtra,Dengue,71219.0,932,70287,120000000
2021-11-05,Maharashtra,Dengue,66184.0,474,65710,120000000
2021-11-12,Maharashtra,Dengue,70687.0,996,69691,120000000
2021-11-19,Maharashtra,Dengue,96245.0,754,95491,120000000
2021-11-26,Maharashtra,Dengue,95222.0,1168,94054,120000000
2021-12-03,Maharashtra,Dengue,575109.0,3120,571989,120000000
2021-12-10,Maharashtra,Dengue,70132.0,717,69415,120000000
2021-12-17,Maharashtra,Dengue,70788.0,742,70046,120000000
2021-12-24,Maharashtra,Dengue,81415.0,780,80635,120000000
2021-12-31,Maharashtra,Dengue,80204.0,656,79548,120000000
2022-01-07,Maharashtra,Dengue,238681.0,3363,235318,120000000
2022-01-14,Maharashtra,Dengue,63242.0,701,62541,120000000
2022-01-21,Maharashtra,Dengue,61610.0,335,61275,120000000
2022-01-28,Maharashtra,Dengue,47141.0,318,46823,120000000
2022-02-04,Maharashtra,Dengue,52401.0,725,51676,120000000
2022-02-11,Maharashtra,Dengue,40989.0,269,40720,120000000
2022-02-18,Maharashtra,Dengue,40735.0,448,40287,120000000
2022-02-25,Maharashtra,Dengue,28718.0,409,28309,120000000
2022-03-04,Maharashtra,Dengue,22015.0,186,21829,120000000
2022-03-11,Maharashtra,Dengue,23882.0,276,23606,120000000
2022-03-18,Maharashtra,Dengue,16855.0,177,16678,120000000
2022-03-25,Maharashtra,Dengue,12636.0,167,12469,120000000
2022-04-01,Maharashtra,Dengue,10963.0,146,10817,120000000
2022-04-08,Maharashtra,Dengue,5828.0,56,5772,120000000
2022-04-15,Maharashtra,Dengue,5280.0,43,5237,120000000
2022-04-22,Maharashtra,Dengue,2719.0,38,2681,120000000
2022-04-29,Maharashtra,Dengue,7650.0,114,7536,120000000
2022-05-06,Maharashtra,Dengue,1544.0,12,1532,120000000
